"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"20-010-504";"0-0";Ekonomska i trgovačka škola;Bosiljka;Vinković Kukolić
"18-069-008";"0-0";Osnovna škola Monte Zaro;Branka;Sironić
"01-158-001";"0-0";Osnovna škola Vladimir Nazor;Branka;Smolković Cerovski
"19-049-001";"0-0";Osnovna škola Stjepana Radića;Božena;Nikoletić
"21-114-036";"0-0";Osnovna škola Matka Laginje;Božidar;Bilafer
"06-041-505";"0-0";Glazbena škola Alberta Štrige, Križevci;Branka;Špoljar
"01-087-502";"0-0";Gimnazija Velika Gorica;Brankica;Žugaj
"01-020-005";"0-0";Osnovna škola Ivan Benković;Branko;Goleš
"03-193-001";"0-0";Osnovna škola Jasenovac;Branko;Šepović
"17-588-001";"0-0";Osnovna škola Okruk u Okrugu Gornjem;Bruna;Dadić
"17-466-001";"0-0";Osnovna škola Ante Starčevića ;Dajana;Maretić
"05-031-001";"0-0";Osnovna škola Ivana Kukuljevića Sakcinskog;Damir;Jagić
"13-107-521";"0-0";Glazbena škola Blagoje Bersa Zadar;Branka;Višić Karavida
"12-336-001";"0-0";Osnovna škola Josip Kozarac Slavonski Šamac;Branka;Vučić
"14-085-002";"0-0";Osnovna škola Ladimirevci;Damir;Jakopiček
"14-395-001";"0-0";Osnovna škola Gorjani;Damir;Jukić
"14-022-003";"0-0";Osnovna škola Vladimir Nazor;Andrija;Šušak
"20-523-002";"0-0";Osnovna škola Orehovica;Branko;Sušec
"14-060-017";"0-0";Osnovna škola Višnjevac;Dane;Končar
"14-085-001";"0-0";Osnovna škola Matije Petra Katančića;Dalibor;Košutić
"16-088-004";"0-0";Osnovna škola Vladimira Nazora;Damir;Burić
"17-593-001";"0-0";Osnovna škola Tučepi;Damir;Jukić
"09-074-501";"0-0";Srednja škola Pavla Rittera Vitezovića u Senju;Danijela;Vukelić
"12-337-001";"0-0";Osnovna škola Dr. Stjepan Ilijašević;Darija;Jozić Ratković
"08-071-523";"0-0";Glazbena škola Ivana Matetića Ronjgova Rijeka;Danijel;Trinajstić
"21-114-070";"0-0";Osnovna škola Ljubljanica Zagreb;Ani;Bertović
